Statistik;Variante;Jahr;Alter;Region;Bevoelkerungsstand_in1000
Bevölkerungsvorausberechnung;1;2040;Insgesamt   ;Bremen                    ;665,4
Bevölkerungsvorausberechnung;1;2045;Insgesamt   ;Bremen                    ;660,9
Bevölkerungsvorausberechnung;1;2050;Insgesamt   ;Bremen                    ;657
Bevölkerungsvorausberechnung;1;2055;Insgesamt   ;Bremen                    ;652,8
Bevölkerungsvorausberechnung;1;2060;Insgesamt   ;Bremen                    ;648,3
Bevölkerungsvorausberechnung;1;2065;Insgesamt   ;Bremen                    ;644,3
Bevölkerungsvorausberechnung;1;2070;Insgesamt   ;Bremen                    ;641
Bevölkerungsvorausberechnung;1;2021;Insgesamt   ;Hamburg                   ;1853,9
Bevölkerungsvorausberechnung;1;2025;Insgesamt   ;Hamburg                   ;1884,8
Bevölkerungsvorausberechnung;1;2030;Insgesamt   ;Hamburg                   ;1895,3
Bevölkerungsvorausberechnung;1;2035;Insgesamt   ;Hamburg                   ;1898,3
Bevölkerungsvorausberechnung;1;2040;Insgesamt   ;Hamburg                   ;1900,3
Bevölkerungsvorausberechnung;1;2045;Insgesamt   ;Hamburg                   ;1901,8
Bevölkerungsvorausberechnung;1;2050;Insgesamt   ;Hamburg                   ;1900,2
Bevölkerungsvorausberechnung;1;2055;Insgesamt   ;Hamburg                   ;1892,4
Bevölkerungsvorausberechnung;1;2060;Insgesamt   ;Hamburg                   ;1878,7
Bevölkerungsvorausberechnung;1;2065;Insgesamt   ;Hamburg                   ;1863
Bevölkerungsvorausberechnung;1;2070;Insgesamt   ;Hamburg                   ;1846,2
Bevölkerungsvorausberechnung;1;2021;Insgesamt   ;Hessen                    ;6295
Bevölkerungsvorausberechnung;1;2025;Insgesamt   ;Hessen                    ;6368,9
Bevölkerungsvorausberechnung;1;2030;Insgesamt   ;Hessen                    ;6354,8
Bevölkerungsvorausberechnung;1;2035;Insgesamt   ;Hessen                    ;6306,5
Bevölkerungsvorausberechnung;1;2040;Insgesamt   ;Hessen                    ;6243,7
Bevölkerungsvorausberechnung;1;2045;Insgesamt   ;Hessen                    ;6169,4
Bevölkerungsvorausberechnung;1;2050;Insgesamt   ;Hessen                    ;6085,5
Bevölkerungsvorausberechnung;1;2055;Insgesamt   ;Hessen                    ;5993,3
Bevölkerungsvorausberechnung;1;2060;Insgesamt   ;Hessen                    ;5901,4
Bevölkerungsvorausberechnung;1;2065;Insgesamt   ;Hessen                    ;5820,3
Bevölkerungsvorausberechnung;1;2070;Insgesamt   ;Hessen                    ;5747,6
Bevölkerungsvorausberechnung;1;2021;Insgesamt   ;Mecklenburg-Vorpommern    ;1611,1
Bevölkerungsvorausberechnung;1;2025;Insgesamt   ;Mecklenburg-Vorpommern    ;1605,9
Bevölkerungsvorausberechnung;1;2030;Insgesamt   ;Mecklenburg-Vorpommern    ;1575,4
Bevölkerungsvorausberechnung;1;2035;Insgesamt   ;Mecklenburg-Vorpommern    ;1537
Bevölkerungsvorausberechnung;1;2040;Insgesamt   ;Mecklenburg-Vorpommern    ;1494,5
Bevölkerungsvorausberechnung;1;2045;Insgesamt   ;Mecklenburg-Vorpommern    ;1446,3
Bevölkerungsvorausberechnung;1;2050;Insgesamt   ;Mecklenburg-Vorpommern    ;1393,5
Bevölkerungsvorausberechnung;1;2055;Insgesamt   ;Mecklenburg-Vorpommern    ;1341,7
Bevölkerungsvorausberechnung;1;2060;Insgesamt   ;Mecklenburg-Vorpommern    ;1297
Bevölkerungsvorausberechnung;1;2065;Insgesamt   ;Mecklenburg-Vorpommern    ;1260,4
Bevölkerungsvorausberechnung;1;2070;Insgesamt   ;Mecklenburg-Vorpommern    ;1228,7
Bevölkerungsvorausberechnung;1;2021;Insgesamt   ;Niedersachsen             ;8027
Bevölkerungsvorausberechnung;1;2025;Insgesamt   ;Niedersachsen             ;8126,7
Bevölkerungsvorausberechnung;1;2030;Insgesamt   ;Niedersachsen             ;8100
Bevölkerungsvorausberechnung;1;2035;Insgesamt   ;Niedersachsen             ;8025,5
Bevölkerungsvorausberechnung;1;2040;Insgesamt   ;Niedersachsen             ;7929,2
Bevölkerungsvorausberechnung;1;2045;Insgesamt   ;Niedersachsen             ;7814,2
Bevölkerungsvorausberechnung;1;2050;Insgesamt   ;Niedersachsen             ;7687
Bevölkerungsvorausberechnung;1;2055;Insgesamt   ;Niedersachsen             ;7555,2
Bevölkerungsvorausberechnung;1;2060;Insgesamt   ;Niedersachsen             ;7434,2
Bevölkerungsvorausberechnung;1;2065;Insgesamt   ;Niedersachsen             ;7337,8
Bevölkerungsvorausberechnung;1;2070;Insgesamt   ;Niedersachsen             ;7260,5
Bevölkerungsvorausberechnung;1;2021;Insgesamt   ;Nordrhein-Westfalen       ;17924,5
Bevölkerungsvorausberechnung;1;2025;Insgesamt   ;Nordrhein-Westfalen       ;17999
Bevölkerungsvorausberechnung;1;2030;Insgesamt   ;Nordrhein-Westfalen       ;17882,6
Bevölkerungsvorausberechnung;1;2035;Insgesamt   ;Nordrhein-Westfalen       ;17691,7
Bevölkerungsvorausberechnung;1;2040;Insgesamt   ;Nordrhein-Westfalen       ;17456,8
Bevölkerungsvorausberechnung;1;2045;Insgesamt   ;Nordrhein-Westfalen       ;17183,6
Bevölkerungsvorausberechnung;1;2050;Insgesamt   ;Nordrhein-Westfalen       ;16885,6
Bevölkerungsvorausberechnung;1;2055;Insgesamt   ;Nordrhein-Westfalen       ;16576,8
Bevölkerungsvorausberechnung;1;2060;Insgesamt   ;Nordrhein-Westfalen       ;16284,3
Bevölkerungsvorausberechnung;1;2065;Insgesamt   ;Nordrhein-Westfalen       ;16033,2
Bevölkerungsvorausberechnung;1;2070;Insgesamt   ;Nordrhein-Westfalen       ;15810,7
Bevölkerungsvorausberechnung;1;2021;Insgesamt   ;Rheinland-Pfalz           ;4106,4
Bevölkerungsvorausberechnung;1;2025;Insgesamt   ;Rheinland-Pfalz           ;4154,2
Bevölkerungsvorausberechnung;1;2030;Insgesamt   ;Rheinland-Pfalz           ;4145,3
Bevölkerungsvorausberechnung;1;2035;Insgesamt   ;Rheinland-Pfalz           ;4108,4
Bevölkerungsvorausberechnung;1;2040;Insgesamt   ;Rheinland-Pfalz           ;4052,8
Bevölkerungsvorausberechnung;1;2045;Insgesamt   ;Rheinland-Pfalz           ;3982,9
Bevölkerungsvorausberechnung;1;2050;Insgesamt   ;Rheinland-Pfalz           ;3906,6
Bevölkerungsvorausberechnung;1;2055;Insgesamt   ;Rheinland-Pfalz           ;3830,3
Bevölkerungsvorausberechnung;1;2060;Insgesamt   ;Rheinland-Pfalz           ;3761,9
Bevölkerungsvorausberechnung;1;2065;Insgesamt   ;Rheinland-Pfalz           ;3705,8
Bevölkerungsvorausberechnung;1;2070;Insgesamt   ;Rheinland-Pfalz           ;3656,8
Bevölkerungsvorausberechnung;1;2021;Insgesamt   ;Saarland                  ;982,3
Bevölkerungsvorausberechnung;1;2025;Insgesamt   ;Saarland                  ;974,4
Bevölkerungsvorausberechnung;1;2030;Insgesamt   ;Saarland                  ;952,6
Bevölkerungsvorausberechnung;1;2035;Insgesamt   ;Saarland                  ;927,6
Bevölkerungsvorausberechnung;1;2040;Insgesamt   ;Saarland                  ;901
Bevölkerungsvorausberechnung;1;2045;Insgesamt   ;Saarland                  ;873,1
Bevölkerungsvorausberechnung;1;2050;Insgesamt   ;Saarland                  ;845,6
Bevölkerungsvorausberechnung;1;2055;Insgesamt   ;Saarland                  ;820,1
Bevölkerungsvorausberechnung;1;2060;Insgesamt   ;Saarland                  ;798,5
Bevölkerungsvorausberechnung;1;2065;Insgesamt   ;Saarland                  ;781,2
Bevölkerungsvorausberechnung;1;2070;Insgesamt   ;Saarland                  ;766,4
Bevölkerungsvorausberechnung;1;2021;Insgesamt   ;Sachsen                   ;4043
Bevölkerungsvorausberechnung;1;2025;Insgesamt   ;Sachsen                   ;4005,4
Bevölkerungsvorausberechnung;1;2030;Insgesamt   ;Sachsen                   ;3911,1
Bevölkerungsvorausberechnung;1;2035;Insgesamt   ;Sachsen                   ;3811,2
Bevölkerungsvorausberechnung;1;2040;Insgesamt   ;Sachsen                   ;3718,1
Bevölkerungsvorausberechnung;1;2045;Insgesamt   ;Sachsen                   ;3627,6
Bevölkerungsvorausberechnung;1;2050;Insgesamt   ;Sachsen                   ;3536,4
Bevölkerungsvorausberechnung;1;2055;Insgesamt   ;Sachsen                   ;3445,6
Bevölkerungsvorausberechnung;1;2060;Insgesamt   ;Sachsen                   ;3361,7
Bevölkerungsvorausberechnung;1;2065;Insgesamt   ;Sachsen                   ;3289,3
Bevölkerungsvorausberechnung;1;2070;Insgesamt   ;Sachsen                   ;3224,5
Bevölkerungsvorausberechnung;1;2021;Insgesamt   ;Sachsen-Anhalt            ;2169,3
Bevölkerungsvorausberechnung;1;2025;Insgesamt   ;Sachsen-Anhalt            ;2119
Bevölkerungsvorausberechnung;1;2030;Insgesamt   ;Sachsen-Anhalt            ;2034,9
Bevölkerungsvorausberechnung;1;2035;Insgesamt   ;Sachsen-Anhalt            ;1950,5
Bevölkerungsvorausberechnung;1;2040;Insgesamt   ;Sachsen-Anhalt            ;1871,6
Bevölkerungsvorausberechnung;1;2045;Insgesamt   ;Sachsen-Anhalt            ;1795,8
Bevölkerungsvorausberechnung;1;2050;Insgesamt   ;Sachsen-Anhalt            ;1723
Bevölkerungsvorausberechnung;1;2055;Insgesamt   ;Sachsen-Anhalt            ;1655,3
Bevölkerungsvorausberechnung;1;2060;Insgesamt   ;Sachsen-Anhalt            ;1596,7
Bevölkerungsvorausberechnung;1;2065;Insgesamt   ;Sachsen-Anhalt            ;1549
Bevölkerungsvorausberechnung;1;2070;Insgesamt   ;Sachsen-Anhalt            ;1508,9
Bevölkerungsvorausberechnung;1;2021;Insgesamt   ;Schleswig-Holstein        ;2922
Bevölkerungsvorausberechnung;1;2025;Insgesamt   ;Schleswig-Holstein        ;2959,2
Bevölkerungsvorausberechnung;1;2030;Insgesamt   ;Schleswig-Holstein        ;2960,1
Bevölkerungsvorausberechnung;1;2035;Insgesamt   ;Schleswig-Holstein        ;2940
Bevölkerungsvorausberechnung;1;2040;Insgesamt   ;Schleswig-Holstein        ;2907,2
Bevölkerungsvorausberechnung;1;2045;Insgesamt   ;Schleswig-Holstein        ;2863,4
Bevölkerungsvorausberechnung;1;2050;Insgesamt   ;Schleswig-Holstein        ;2808,4
Bevölkerungsvorausberechnung;1;2055;Insgesamt   ;Schleswig-Holstein        ;2746,5
Bevölkerungsvorausberechnung;1;2060;Insgesamt   ;Schleswig-Holstein        ;2686,9
Bevölkerungsvorausberechnung;1;2065;Insgesamt   ;Schleswig-Holstein        ;2636,5
Bevölkerungsvorausberechnung;1;2070;Insgesamt   ;Schleswig-Holstein        ;2594,1
Bevölkerungsvorausberechnung;1;2021;Insgesamt   ;Thüringen                 ;2108,8
Bevölkerungsvorausberechnung;1;2025;Insgesamt   ;Thüringen                 ;2069,6
Bevölkerungsvorausberechnung;1;2030;Insgesamt   ;Thüringen                 ;1993,1
Bevölkerungsvorausberechnung;1;2035;Insgesamt   ;Thüringen                 ;1914,9
Bevölkerungsvorausberechnung;1;2040;Insgesamt   ;Thüringen                 ;1840,6
Bevölkerungsvorausberechnung;1;2045;Insgesamt   ;Thüringen                 ;1769
Bevölkerungsvorausberechnung;1;2050;Insgesamt   ;Thüringen                 ;1700,7
Bevölkerungsvorausberechnung;1;2055;Insgesamt   ;Thüringen                 ;1637,3
Bevölkerungsvorausberechnung;1;2060;Insgesamt   ;Thüringen                 ;1582,4
Bevölkerungsvorausberechnung;1;2065;Insgesamt   ;Thüringen                 ;1537,1
Bevölkerungsvorausberechnung;1;2070;Insgesamt   ;Thüringen                 ;1498,2
Bevölkerungsvorausberechnung;1;2021;Insgesamt   ;Ostdeutsche Flächenländer ;12470,1
Bevölkerungsvorausberechnung;1;2025;Insgesamt   ;Ostdeutsche Flächenländer ;12364,3
Bevölkerungsvorausberechnung;1;2030;Insgesamt   ;Ostdeutsche Flächenländer ;12067,7
Bevölkerungsvorausberechnung;1;2035;Insgesamt   ;Ostdeutsche Flächenländer ;11734,5
Bevölkerungsvorausberechnung;1;2040;Insgesamt   ;Ostdeutsche Flächenländer ;11401,4
Bevölkerungsvorausberechnung;1;2045;Insgesamt   ;Ostdeutsche Flächenländer ;11058,9
Bevölkerungsvorausberechnung;1;2050;Insgesamt   ;Ostdeutsche Flächenländer ;10706,1
Bevölkerungsvorausberechnung;1;2055;Insgesamt   ;Ostdeutsche Flächenländer ;10362,6
Bevölkerungsvorausberechnung;1;2060;Insgesamt   ;Ostdeutsche Flächenländer ;10058,4
Bevölkerungsvorausberechnung;1;2065;Insgesamt   ;Ostdeutsche Flächenländer ;9804,9
Bevölkerungsvorausberechnung;1;2070;Insgesamt   ;Ostdeutsche Flächenländer ;9582,6
Bevölkerungsvorausberechnung;1;2021;Insgesamt   ;Westdeutsche Flächenländer;64558,7
Bevölkerungsvorausberechnung;1;2025;Insgesamt   ;Westdeutsche Flächenländer;65303,8
Bevölkerungsvorausberechnung;1;2030;Insgesamt   ;Westdeutsche Flächenländer;65208,4
Bevölkerungsvorausberechnung;1;2035;Insgesamt   ;Westdeutsche Flächenländer;64740,9
Bevölkerungsvorausberechnung;1;2040;Insgesamt   ;Westdeutsche Flächenländer;64067,7
Bevölkerungsvorausberechnung;1;2045;Insgesamt   ;Westdeutsche Flächenländer;63220,1
Bevölkerungsvorausberechnung;1;2050;Insgesamt   ;Westdeutsche Flächenländer;62250,1
Bevölkerungsvorausberechnung;1;2055;Insgesamt   ;Westdeutsche Flächenländer;61217,2
Bevölkerungsvorausberechnung;1;2060;Insgesamt   ;Westdeutsche Flächenländer;60230
Bevölkerungsvorausberechnung;1;2065;Insgesamt   ;Westdeutsche Flächenländer;59384,8
Bevölkerungsvorausberechnung;1;2070;Insgesamt   ;Westdeutsche Flächenländer;58634,8
Bevölkerungsvorausberechnung;1;2021;Insgesamt   ;Stadtstaaten              ;6207,7
Bevölkerungsvorausberechnung;1;2025;Insgesamt   ;Stadtstaaten              ;6355
Bevölkerungsvorausberechnung;1;2030;Insgesamt   ;Stadtstaaten              ;6398,3
Bevölkerungsvorausberechnung;1;2035;Insgesamt   ;Stadtstaaten              ;6411,1
Bevölkerungsvorausberechnung;1;2040;Insgesamt   ;Stadtstaaten              ;6422,5
Bevölkerungsvorausberechnung;1;2045;Insgesamt   ;Stadtstaaten              ;6435,7
Bevölkerungsvorausberechnung;1;2050;Insgesamt   ;Stadtstaaten              ;6443,8
Bevölkerungsvorausberechnung;1;2055;Insgesamt   ;Stadtstaaten              ;6436,5
Bevölkerungsvorausberechnung;1;2060;Insgesamt   ;Stadtstaaten              ;6414,6
Bevölkerungsvorausberechnung;1;2065;Insgesamt   ;Stadtstaaten              ;6387,8
Bevölkerungsvorausberechnung;1;2070;Insgesamt   ;Stadtstaaten              ;6355,4
Bevölkerungsvorausberechnung;1;2021;unter 20    ;Baden-Württemberg         ;2124,4
Bevölkerungsvorausberechnung;1;2025;unter 20    ;Baden-Württemberg         ;2199,4
Bevölkerungsvorausberechnung;1;2030;unter 20    ;Baden-Württemberg         ;2223,4
Bevölkerungsvorausberechnung;1;2035;unter 20    ;Baden-Württemberg         ;2199,9
Bevölkerungsvorausberechnung;1;2040;unter 20    ;Baden-Württemberg         ;2110,5
Bevölkerungsvorausberechnung;1;2045;unter 20    ;Baden-Württemberg         ;2027,3
Bevölkerungsvorausberechnung;1;2050;unter 20    ;Baden-Württemberg         ;1974,7
Bevölkerungsvorausberechnung;1;2055;unter 20    ;Baden-Württemberg         ;1955
Bevölkerungsvorausberechnung;1;2060;unter 20    ;Baden-Württemberg         ;1952,2
Bevölkerungsvorausberechnung;1;2065;unter 20    ;Baden-Württemberg         ;1939,6
Bevölkerungsvorausberechnung;1;2070;unter 20    ;Baden-Württemberg         ;1901,7
Bevölkerungsvorausberechnung;1;2021;unter 20    ;Bayern                    ;2449,9
Bevölkerungsvorausberechnung;1;2025;unter 20    ;Bayern                    ;2566,2
Bevölkerungsvorausberechnung;1;2030;unter 20    ;Bayern                    ;2629,5
Bevölkerungsvorausberechnung;1;2035;unter 20    ;Bayern                    ;2618,2
Bevölkerungsvorausberechnung;1;2040;unter 20    ;Bayern                    ;2520,1
Bevölkerungsvorausberechnung;1;2045;unter 20    ;Bayern                    ;2422,9
Bevölkerungsvorausberechnung;1;2050;unter 20    ;Bayern                    ;2360,6
Bevölkerungsvorausberechnung;1;2055;unter 20    ;Bayern                    ;2340,1
Bevölkerungsvorausberechnung;1;2060;unter 20    ;Bayern                    ;2344,4
Bevölkerungsvorausberechnung;1;2065;unter 20    ;Bayern                    ;2337,7
Bevölkerungsvorausberechnung;1;2070;unter 20    ;Bayern                    ;2298,2
Bevölkerungsvorausberechnung;1;2021;unter 20    ;Berlin                    ;678,2
Bevölkerungsvorausberechnung;1;2025;unter 20    ;Berlin                    ;721,5
Bevölkerungsvorausberechnung;1;2030;unter 20    ;Berlin                    ;740,6
Bevölkerungsvorausberechnung;1;2035;unter 20    ;Berlin                    ;742,2
Bevölkerungsvorausberechnung;1;2040;unter 20    ;Berlin                    ;730,8
Bevölkerungsvorausberechnung;1;2045;unter 20    ;Berlin                    ;725,4
Bevölkerungsvorausberechnung;1;2050;unter 20    ;Berlin                    ;718,9
Bevölkerungsvorausberechnung;1;2055;unter 20    ;Berlin                    ;712
Bevölkerungsvorausberechnung;1;2060;unter 20    ;Berlin                    ;705
Bevölkerungsvorausberechnung;1;2065;unter 20    ;Berlin                    ;695,5
Bevölkerungsvorausberechnung;1;2070;unter 20    ;Berlin                    ;683,4
Bevölkerungsvorausberechnung;1;2021;unter 20    ;Brandenburg               ;449,5
Bevölkerungsvorausberechnung;1;2025;unter 20    ;Brandenburg               ;464,9
Bevölkerungsvorausberechnung;1;2030;unter 20    ;Brandenburg               ;456,8
Bevölkerungsvorausberechnung;1;2035;unter 20    ;Brandenburg               ;434,6
Bevölkerungsvorausberechnung;1;2040;unter 20    ;Brandenburg               ;407,8
Bevölkerungsvorausberechnung;1;2045;unter 20    ;Brandenburg               ;397,6
Bevölkerungsvorausberechnung;1;2050;unter 20    ;Brandenburg               ;392,5
Bevölkerungsvorausberechnung;1;2055;unter 20    ;Brandenburg               ;388,2
Bevölkerungsvorausberechnung;1;2060;unter 20    ;Brandenburg               ;382,8
Bevölkerungsvorausberechnung;1;2065;unter 20    ;Brandenburg               ;374,9
Bevölkerungsvorausberechnung;1;2070;unter 20    ;Brandenburg               ;365,4
Bevölkerungsvorausberechnung;1;2021;unter 20    ;Bremen                    ;126,5
Bevölkerungsvorausberechnung;1;2025;unter 20    ;Bremen                    ;132,6
Bevölkerungsvorausberechnung;1;2030;unter 20    ;Bremen                    ;133,6
Bevölkerungsvorausberechnung;1;2035;unter 20    ;Bremen                    ;132,7
Bevölkerungsvorausberechnung;1;2040;unter 20    ;Bremen                    ;128,8
Bevölkerungsvorausberechnung;1;2045;unter 20    ;Bremen                    ;126,7
Bevölkerungsvorausberechnung;1;2050;unter 20    ;Bremen                    ;125,4
Bevölkerungsvorausberechnung;1;2055;unter 20    ;Bremen                    ;124,8
Bevölkerungsvorausberechnung;1;2060;unter 20    ;Bremen                    ;124,2
Bevölkerungsvorausberechnung;1;2065;unter 20    ;Bremen                    ;122,8
Bevölkerungsvorausberechnung;1;2070;unter 20    ;Bremen                    ;120,6
Bevölkerungsvorausberechnung;1;2021;unter 20    ;Hamburg                   ;348,9
Bevölkerungsvorausberechnung;1;2025;unter 20    ;Hamburg                   ;362,8
Bevölkerungsvorausberechnung;1;2030;unter 20    ;Hamburg                   ;370,4
Bevölkerungsvorausberechnung;1;2035;unter 20    ;Hamburg                   ;371,5
Bevölkerungsvorausberechnung;1;2040;unter 20    ;Hamburg                   ;365,1
Bevölkerungsvorausberechnung;1;2045;unter 20    ;Hamburg                   ;360,1
Bevölkerungsvorausberechnung;1;2050;unter 20    ;Hamburg                   ;355
Bevölkerungsvorausberechnung;1;2055;unter 20    ;Hamburg                   ;349,8
Bevölkerungsvorausberechnung;1;2060;unter 20    ;Hamburg                   ;344,2
Bevölkerungsvorausberechnung;1;2065;unter 20    ;Hamburg                   ;337,2
Bevölkerungsvorausberechnung;1;2070;unter 20    ;Hamburg                   ;328,4
Bevölkerungsvorausberechnung;1;2021;unter 20    ;Hessen                    ;1190
Bevölkerungsvorausberechnung;1;2025;unter 20    ;Hessen                    ;1227,5
Bevölkerungsvorausberechnung;1;2030;unter 20    ;Hessen                    ;1230,7
Bevölkerungsvorausberechnung;1;2035;unter 20    ;Hessen                    ;1210,2
Bevölkerungsvorausberechnung;1;2040;unter 20    ;Hessen                    ;1163,1
Bevölkerungsvorausberechnung;1;2045;unter 20    ;Hessen                    ;1128,8
Bevölkerungsvorausberechnung;1;2050;unter 20    ;Hessen                    ;1106,3
Bevölkerungsvorausberechnung;1;2055;unter 20    ;Hessen                    ;1094,7
Bevölkerungsvorausberechnung;1;2060;unter 20    ;Hessen                    ;1088
Bevölkerungsvorausberechnung;1;2065;unter 20    ;Hessen                    ;1075,6
Bevölkerungsvorausberechnung;1;2070;unter 20    ;Hessen                    ;1052,9
Bevölkerungsvorausberechnung;1;2021;unter 20    ;Mecklenburg-Vorpommern    ;274
Bevölkerungsvorausberechnung;1;2025;unter 20    ;Mecklenburg-Vorpommern    ;277,1
Bevölkerungsvorausberechnung;1;2030;unter 20    ;Mecklenburg-Vorpommern    ;264,1
Bevölkerungsvorausberechnung;1;2035;unter 20    ;Mecklenburg-Vorpommern    ;247,3
Bevölkerungsvorausberechnung;1;2040;unter 20    ;Mecklenburg-Vorpommern    ;232,6
Bevölkerungsvorausberechnung;1;2045;unter 20    ;Mecklenburg-Vorpommern    ;229,2
Bevölkerungsvorausberechnung;1;2050;unter 20    ;Mecklenburg-Vorpommern    ;228,5
Bevölkerungsvorausberechnung;1;2055;unter 20    ;Mecklenburg-Vorpommern    ;226,3
Bevölkerungsvorausberechnung;1;2060;unter 20    ;Mecklenburg-Vorpommern    ;221,3
Bevölkerungsvorausberechnung;1;2065;unter 20    ;Mecklenburg-Vorpommern    ;214,4
Bevölkerungsvorausberechnung;1;2070;unter 20    ;Mecklenburg-Vorpommern    ;207,5
Bevölkerungsvorausberechnung;1;2021;unter 20    ;Niedersachsen             ;1512,1
Bevölkerungsvorausberechnung;1;2025;unter 20    ;Niedersachsen             ;1560,8
Bevölkerungsvorausberechnung;1;2030;unter 20    ;Niedersachsen             ;1572,3
Bevölkerungsvorausberechnung;1;2035;unter 20    ;Niedersachsen             ;1552,6
Bevölkerungsvorausberechnung;1;2040;unter 20    ;Niedersachsen             ;1490,9
Bevölkerungsvorausberechnung;1;2045;unter 20    ;Niedersachsen             ;1442,3
Bevölkerungsvorausberechnung;1;2050;unter 20    ;Niedersachsen             ;1410,9
Bevölkerungsvorausberechnung;1;2055;unter 20    ;Niedersachsen             ;1397,1
Bevölkerungsvorausberechnung;1;2060;unter 20    ;Niedersachsen             ;1393,3
Bevölkerungsvorausberechnung;1;2065;unter 20    ;Niedersachsen             ;1384,6
Bevölkerungsvorausberechnung;1;2070;unter 20    ;Niedersachsen             ;1361,8
Bevölkerungsvorausberechnung;1;2021;unter 20    ;Nordrhein-Westfalen       ;3393,2
Bevölkerungsvorausberechnung;1;2025;unter 20    ;Nordrhein-Westfalen       ;3482,3
Bevölkerungsvorausberechnung;1;2030;unter 20    ;Nordrhein-Westfalen       ;3510,9
